"","vacancy_rate","approximate_date","postcode","month"
"1",6.90699567858709,2021-02-21,"2000","2021-02"
"2",6.43212290939813,2021-03-23,"2000","2021-03"
"3",7.54022449426258,2021-04-23,"2000","2021-04"
"4",6.97836444583301,2021-05-23,"2000","2021-05"
"5",6.55900349650349,2021-06-22,"2000","2021-06"
"6",6.95681063122924,2021-07-23,"2000","2021-07"
"7",8.08288395000156,2021-08-22,"2000","2021-08"
"8",8.53327311519833,2021-09-21,"2000","2021-09"
"9",7.72296918767507,2021-10-22,"2000","2021-10"
"10",7.1418308479373,2021-11-21,"2000","2021-11"
"11",5.94337922247428,2021-12-22,"2000","2021-12"
"12",4.66005247876784,2022-01-21,"2000","2022-01"
"13",4.42909892019362,2022-02-20,"2000","2022-02"
"14",3.49513991163476,2022-03-23,"2000","2022-03"
"15",3.67630201071971,2022-04-22,"2000","2022-04"
"16",3.6843180657245,2022-05-23,"2000","2022-05"
"17",4.04859865124049,2022-06-22,"2000","2022-06"
"18",3.53849244988485,2022-07-22,"2000","2022-07"
"19",3.25553667953668,2022-08-22,"2000","2022-08"
"20",3.18844426611522,2022-09-21,"2000","2022-09"
"21",3.53047125585986,2022-10-22,"2000","2022-10"
"22",3.23740696796462,2022-11-21,"2000","2022-11"
"23",3.58962830659317,2022-12-21,"2000","2022-12"
"24",3.58962830659317,2023-01-06,"2000","2023-01"
"25",0,2021-02-28,"2006","2021-02"
"26",0,2021-03-21,"2006","2021-03"
"27",0,2021-04-10,"2006","2021-04"
"28",0,2021-05-21,"2006","2021-05"
"29",0,2021-06-11,"2006","2021-06"
"30",0,2021-07-22,"2006","2021-07"
"31",0,2021-08-11,"2006","2021-08"
"32",0,2021-09-21,"2006","2021-09"
"33",0,2021-10-12,"2006","2021-10"
"34",0,2021-11-22,"2006","2021-11"
"35",0,2021-12-12,"2006","2021-12"
"36",0,2022-01-22,"2006","2022-01"
"37",0,2022-02-12,"2006","2022-02"
"38",0,2022-03-25,"2006","2022-03"
"39",0,2022-04-14,"2006","2022-04"
"40",0,2022-05-25,"2006","2022-05"
"41",0,2022-06-15,"2006","2022-06"
"42",0,2022-07-26,"2006","2022-07"
"43",0,2022-08-15,"2006","2022-08"
"44",0,2022-09-25,"2006","2022-09"
"45",0,2022-10-16,"2006","2022-10"
"46",0,2022-11-26,"2006","2022-11"
"47",0,2022-12-16,"2006","2022-12"
"48",0,2023-01-06,"2006","2023-01"
"49",5.75357917570499,2021-02-21,"2007","2021-02"
"50",6.68233246301131,2021-03-23,"2007","2021-03"
"51",4.74208426826228,2021-04-23,"2007","2021-04"
"52",4.05661792275965,2021-05-23,"2007","2021-05"
"53",4.02355889724311,2021-06-22,"2007","2021-06"
"54",4.73577082548059,2021-07-23,"2007","2021-07"
"55",4.92416225749559,2021-08-22,"2007","2021-08"
"56",5.1576354679803,2021-09-21,"2007","2021-09"
"57",4.90615501519757,2021-10-22,"2007","2021-10"
"58",4.29879365079365,2021-11-21,"2007","2021-11"
"59",4.31028775146422,2021-12-22,"2007","2021-12"
"60",2.85152559683391,2022-01-21,"2007","2022-01"
"61",2.36882884036627,2022-02-20,"2007","2022-02"
"62",2.73373996789727,2022-03-23,"2007","2022-03"
"63",2.87594154380995,2022-04-22,"2007","2022-04"
"64",3.3793815763992,2022-05-23,"2007","2022-05"
"65",3.07230241439575,2022-06-22,"2007","2022-06"
"66",2.49172454079314,2022-07-22,"2007","2022-07"
"67",1.95340058574683,2022-08-22,"2007","2022-08"
"68",2.50538406317301,2022-09-21,"2007","2022-09"
"69",2.87769125057261,2022-10-22,"2007","2022-10"
"70",2.70240829450751,2022-11-21,"2007","2022-11"
"71",2.43429624267948,2022-12-21,"2007","2022-12"
"72",2.43429624267948,2023-01-06,"2007","2023-01"
"73",6.55626130808022,2021-02-21,"2008","2021-02"
"74",6.62249305769824,2021-03-23,"2008","2021-03"
"75",5.448278526991,2021-04-23,"2008","2021-04"
"76",4.97220286488579,2021-05-23,"2008","2021-05"
"77",4.46845658415457,2021-06-22,"2008","2021-06"
"78",5.26382896015549,2021-07-23,"2008","2021-07"
"79",5.62727839227294,2021-08-22,"2008","2021-08"
"80",6.23724977562727,2021-09-21,"2008","2021-09"
"81",6.35835483618735,2021-10-22,"2008","2021-10"
"82",5.49713972259227,2021-11-21,"2008","2021-11"
"83",4.9322812389589,2021-12-22,"2008","2021-12"
"84",2.96507237256136,2022-01-21,"2008","2022-01"
"85",1.84299507389162,2022-02-20,"2008","2022-02"
"86",1.90220782811327,2022-03-23,"2008","2022-03"
"87",1.9611396913336,2022-04-22,"2008","2022-04"
"88",2.15867729273225,2022-05-23,"2008","2022-05"
"89",2.0796917209598,2022-06-22,"2008","2022-06"
"90",1.44473191895872,2022-07-22,"2008","2022-07"
"91",1.67072246379702,2022-08-22,"2008","2022-08"
"92",1.56239507554561,2022-09-21,"2008","2022-09"
"93",1.67727982698546,2022-10-22,"2008","2022-10"
"94",2.24077046548957,2022-11-21,"2008","2022-11"
"95",2.52583329982711,2022-12-21,"2008","2022-12"
"96",2.52583329982711,2023-01-06,"2008","2023-01"
"97",4.77594223717537,2021-02-21,"2009","2021-02"
"98",5.14944007263922,2021-03-23,"2009","2021-03"
"99",3.80669595515831,2021-04-23,"2009","2021-04"
"100",3.96846454156085,2021-05-23,"2009","2021-05"
"101",3.4694744830203,2021-06-22,"2009","2021-06"
"102",2.9156223893066,2021-07-23,"2009","2021-07"
"103",3.18406447198358,2021-08-22,"2009","2021-08"
"104",4.09057005860416,2021-09-21,"2009","2021-09"
"105",4.06725825494154,2021-10-22,"2009","2021-10"
"106",3.7256471844142,2021-11-21,"2009","2021-11"
"107",3.75526556776557,2021-12-22,"2009","2021-12"
"108",3.01275783040489,2022-01-21,"2009","2022-01"
"109",2.4014679460224,2022-02-20,"2009","2022-02"
"110",1.89652137308178,2022-03-23,"2009","2022-03"
"111",1.97877638585603,2022-04-22,"2009","2022-04"
"112",2.16770186335404,2022-05-23,"2009","2022-05"
"113",1.60743072081062,2022-06-22,"2009","2022-06"
"114",1.58191526139899,2022-07-22,"2009","2022-07"
"115",1.44941357431263,2022-08-22,"2009","2022-08"
"116",1.45097586326366,2022-09-21,"2009","2022-09"
"117",1.5328247803976,2022-10-22,"2009","2022-10"
"118",1.4806386917618,2022-11-21,"2009","2022-11"
"119",1.83209171266453,2022-12-21,"2009","2022-12"
"120",1.83209171266453,2023-01-06,"2009","2023-01"
"121",4.40249199993816,2021-02-21,"2010","2021-02"
"122",4.51779627203524,2021-03-23,"2010","2021-03"
"123",4.11326840766702,2021-04-23,"2010","2021-04"
"124",3.66461113095885,2021-05-23,"2010","2021-05"
"125",3.25757222196294,2021-06-22,"2010","2021-06"
"126",3.12150959860384,2021-07-23,"2010","2021-07"
"127",3.98682855270139,2021-08-22,"2010","2021-08"
"128",4.7710018076301,2021-09-21,"2010","2021-09"
"129",4.61262656343061,2021-10-22,"2010","2021-10"
"130",4.59757515600667,2021-11-21,"2010","2021-11"
"131",4.03417514763161,2021-12-22,"2010","2021-12"
"132",2.95344008556957,2022-01-21,"2010","2022-01"
"133",2.57341379256015,2022-02-20,"2010","2022-02"
"134",2.12579886698963,2022-03-23,"2010","2022-03"
"135",2.09599671265785,2022-04-22,"2010","2022-04"
"136",1.93373226950355,2022-05-23,"2010","2022-05"
"137",1.88140161725067,2022-06-22,"2010","2022-06"
"138",1.71825617406496,2022-07-22,"2010","2022-07"
"139",1.34343932428778,2022-08-22,"2010","2022-08"
"140",1.18985486466249,2022-09-21,"2010","2022-09"
"141",0.891101749010597,2022-10-22,"2010","2022-10"
"142",1.11562190327015,2022-11-21,"2010","2022-11"
"143",1.3298218088087,2022-12-21,"2010","2022-12"
"144",1.3298218088087,2023-01-06,"2010","2023-01"
"145",5.0760114839826,2021-02-21,"2011","2021-02"
"146",4.75201739943492,2021-03-23,"2011","2021-03"
"147",4.09688636957527,2021-04-23,"2011","2021-04"
"148",4.12426393482294,2021-05-23,"2011","2021-05"
